index_date,magalu_(reais),vendas_varejo
2011-06-01,0.507812,78.1
2011-07-01,0.429687,80.1
2011-08-01,0.401562,82
2011-09-01,0.366875,79.9
2011-10-01,0.41875,80.7
2011-11-01,0.340625,83.3
2011-12-01,0.298125,102.6
2012-01-01,0.313125,81.6
2012-02-01,0.370312,76.2
2012-03-01,0.37375,87.1
2012-04-01,0.355625,79.9
2012-05-01,0.291562,86.8
2012-06-01,0.29375,87.9
2012-07-01,0.320312,88.5
2012-08-01,0.353125,95.1
2012-09-01,0.3825,82.9
2012-10-01,0.353437,93.3
2012-11-01,0.351562,91.1
2012-12-01,0.379687,110.5
2013-01-01,0.375,89.9
2013-02-01,0.316875,80.4
2013-03-01,0.278125,94.3
2013-04-01,0.22375,91.3
2013-05-01,0.254687,95.1
2013-06-01,0.168125,91.7
2013-07-01,0.159687,97.1
2013-08-01,0.179375,99.6
2013-09-01,0.235937,93.4
2013-10-01,0.296875,100.5
2013-11-01,0.2625,101.6
2013-12-01,0.235937,120.2
2014-01-01,0.248437,98.8
2014-02-01,0.22,91
2014-03-01,0.2025,93.9
2014-04-01,0.2375,96.6
2014-05-01,0.254375,101.5
2014-06-01,0.287187,91.6
2014-07-01,0.279687,98.2
2014-08-01,0.28125,98.6
2014-09-01,0.236875,97.6
2014-10-01,0.257812,103.8
2014-11-01,0.248437,104.7
2014-12-01,0.240937,123.7
2015-01-01,0.2125,99.3
2015-02-01,0.189062,87.1
2015-03-01,0.159062,98.6
2015-04-01,0.157187,94.3
2015-05-01,0.13375,97.2
2015-06-01,0.110312,94.3
2015-07-01,0.112187,98.1
2015-08-01,0.079687,96.3
2015-09-01,0.05625,93.4
2015-10-01,0.046093,99.2
2015-11-01,0.034492,98.9
2015-12-01,0.068945,120.3
2016-01-01,0.055273,94
2016-02-01,0.076953,90
2016-03-01,0.114257,99.2
2016-04-01,0.125117,93.8
2016-05-01,0.135781,95.2
2016-06-01,0.15039,94.7
2016-07-01,0.179687,96.2
2016-08-01,0.236328,97.5
2016-09-01,0.298828,93.4
2016-10-01,0.361171,96.6
2016-11-01,0.40625,100.1
2016-12-01,0.414726,118.9
2017-01-01,0.49996,97
2017-02-01,0.812929,87.9
2017-03-01,0.691796,98.8
2017-04-01,0.870273,94.2
2017-05-01,0.980468,99.8
2017-06-01,1,98
2017-07-01,1.433125,99.6
2017-08-01,2.21875,102.5
2017-09-01,2.319062,99.8
2017-10-01,1.992187,101.9
2017-11-01,1.775625,107.2
2017-12-01,2.506875,125.2
2018-01-01,2.6425,103.4
2018-02-01,2.845312,92.6
2018-03-01,3.059687,108.1
2018-04-01,3.334687,102.3
2018-05-01,3.388125,103.2
2018-06-01,3.999687,104.6
2018-07-01,4.133125,105.5
2018-08-01,4.070312,112.4
2018-09-01,3.827812,105.4
2018-10-01,5.275,112
2018-11-01,5.144687,117.1
2018-12-01,5.658437,130.9
2019-01-01,5.595937,109.4
2019-02-01,5.420625,102.4
2019-03-01,5.401562,108.4
2019-04-01,5.976875,109.9
2019-05-01,6.125,114.1
2019-06-01,6.5975,109
2019-07-01,8.24125,115.5
2019-08-01,9.0725,116.6
2019-09-01,9.26,111.4
2019-10-01,11.16,119.4
2019-11-01,11.2575,123.7
2019-12-01,11.925,140.4
2020-01-01,13.95,116.6
2020-02-01,12.63,108.7
2020-03-01,9.7475,105.4
2020-04-01,12.425,83.8
2020-05-01,16.0875,99
2020-06-01,17.9125,109.1
2020-07-01,20.1775,121.2
2020-08-01,23.305,125.5
2020-09-01,22.299999,125.9
2020-10-01,24.629999,135.5
2020-11-01,23.379999,139.1
2020-12-01,24.950001,155.9
2021-01-01,25.27,124.6
2021-02-01,24.18,118.1
2021-03-01,20.24,128.6
2021-04-01,20.030001,129
2021-05-01,20.16,139.8
2021-06-01,21.15,138
2021-07-01,20.6,148.4
2021-08-01,18.24,144.3
2021-09-01,14.34,139.7
2021-10-01,10.81,145.3
2021-11-01,7.8,154.5
2021-12-01,,170.6320153
2022-01-01,,144.4796374
2022-02-01,,136.8010056
2022-03-01,,143.775711
2022-04-01,,137.9638872
2022-05-01,,146.7516959
2022-06-01,,147.4708026
2022-07-01,,155.5343945
2022-08-01,,156.2453066
2022-09-01,,152.7878386
2022-10-01,,159.5581767
2022-11-01,,165.363994
