index_date,magalu_(reais)_observed,magalu_(reais)_fitted,magalu_(reais)_predicted,std_error,ci_95_lower,ci_95_upper
2015-01-01,0.227020926411193,,,,,
2015-02-01,0.204336787514144,,,,,
2015-03-01,0.169608048014442,,,,,
2015-04-01,0.151811522690874,,,,,
2015-05-01,0.133640163470426,,,,,
2015-06-01,0.109434316188023,,,,,
2015-07-01,0.109473843546704,,,,,
2015-08-01,0.0737089061951727,,,,,
2015-09-01,0.0544712691225884,,,,,
2015-10-01,0.0435084632890323,,,,,
2015-11-01,0.0343842021727182,,,,,
2015-12-01,0.0722838697231494,,,,,
2016-01-01,0.0585201115859809,,,,,
2016-02-01,0.0828553412143318,0.4099738074689777,,,,
2016-03-01,0.121941292862477,-0.4249673494409544,,,,
2016-04-01,0.121790785170049,0.20373299444342885,,,,
2016-05-01,0.136820421458307,0.11702679256953316,,,,
2016-06-01,0.149606154700919,0.3500516640429467,,,,
2016-07-01,0.174589953114926,-0.15238296233440835,,,,
2016-08-01,0.219566866014974,0.3466260557189035,,,,
2016-09-01,0.291228095796137,0.017185609262655173,,,,
2016-10-01,0.338415831607644,0.34049417759216255,,,,
2016-11-01,0.402992264645967,0.6224732781898199,,,,
2016-12-01,0.429351148586743,0.220098647593023,,,,
2017-01-01,0.522789358691817,0.6636485227899589,,,,
2017-02-01,0.869961578574055,0.339962251367262,,,,
2017-03-01,0.741465803638257,1.149005178970353,,,,
2017-04-01,0.867014082007449,0.5965584499133961,,,,
2017-05-01,1.00045311852787,1.0956203771652036,,,,
2017-06-01,0.997664551846247,0.7691330007552171,,,,
2017-07-01,1.38570867583959,1.0514234394866682,,,,
2017-08-01,2.06740225901278,1.6574713809884845,,,,
2017-09-01,2.27138903679686,2.306174480875621,,,,
2017-10-01,1.85010625847778,2.295397212553611,,,,
2017-11-01,1.75198821694929,1.936575723943168,,,,
2017-12-01,2.54233974946473,1.3193084490563378,,,,
2018-01-01,2.72581098693491,2.9534015080745664,,,,
2018-02-01,3.01973403645775,2.7594184841461415,,,,
2018-03-01,3.32801675148691,3.697195154137509,,,,
2018-04-01,3.4387199604264,2.844513212641601,,,,
2018-05-01,3.50728922630361,3.5616631971514185,,,,
2018-06-01,3.99025451511201,3.629811181300899,,,,
2018-07-01,3.94149604538435,4.22160384708643,,,,
2018-08-01,3.75661485663571,4.31024535500245,,,,
2018-09-01,3.74142741501563,3.317436297989602,,,,
2018-10-01,4.89241928058197,3.5999849107000625,,,,
2018-11-01,5.09901529576443,5.139078408308183,,,,
2018-12-01,5.66456818011409,5.7143650110605,,,,
2019-01-01,5.7335256864425,6.185160515063543,,,,
2019-02-01,5.7166104537414,5.69341465360979,,,,
2019-03-01,5.95103039776935,5.2317810262213,,,,
2019-04-01,6.38171401884837,6.424855994303896,,,,
2019-05-01,6.39351486732984,6.351815951779482,,,,
2019-06-01,6.52162810678867,6.546201237949862,,,,
2019-07-01,7.72752954964771,6.800299867112332,,,,
2019-08-01,8.29617337362152,8.0027570109834,,,,
2019-09-01,9.00710880108436,8.704998996688735,,,,
2019-10-01,10.3610670693622,9.695669684801999,,,,
2019-11-01,11.2826399968557,10.441133631199165,,,,
2019-12-01,11.8618463885104,12.44811651586712,,,,
2020-01-01,14.2461115345229,11.871942635263837,,,,
2020-02-01,13.28004278192,15.177877632167053,,,,
2020-03-01,10.9124366541332,11.454977797446118,,,,
2020-04-01,13.6018974074075,10.599393407673245,,,,
2020-05-01,16.8192581267607,14.734474379118092,,,,
2020-06-01,17.5662223167865,18.372950004370725,,,,
2020-07-01,18.5420290529291,18.748465162386328,,,,
2020-08-01,20.97123656393,18.309508987344433,,,,
2020-09-01,21.4799015380509,21.68798787112425,,,,
2020-10-01,23.0628895529321,22.674618273359368,,,,
2020-11-01,23.8332270531915,23.82366717681412,,,,
2020-12-01,25.0009885074239,23.975530745979963,,,,
2021-01-01,25.8907292215281,26.78684209419208,,,,
2021-02-01,25.4355275625511,25.04975803613226,,,,
2021-03-01,22.8202538335878,24.89801184475674,,,,
2021-04-01,22.2069121018767,22.66099799465945,,,,
2021-05-01,20.9051063931433,22.17551314455712,,,,
2021-06-01,20.5556235466857,19.451008652463987,,,,
2021-07-01,18.7126021236027,21.355081928795407,,,,
2021-08-01,16.2357424302669,18.505895604007925,,,,
2021-09-01,13.675701995818,15.417975443561874,,,,
2021-10-01,10.2214590768343,12.761932414342235,,,,
2021-11-01,8.06782754059713,9.135676128160286,,,,
2021-12-01,,,7.209048512592622,1.0101644813351862,5.229162510714073,9.188934514471171
2022-01-01,,,7.738924866331632,1.7333233042629872,4.341673616412216,11.136176116251049
2022-02-01,,,6.956253647876325,2.417354710523929,2.2183254773911765,11.694181818361475
2022-03-01,,,5.647211327725443,3.1095391233768854,-0.4473733626115042,11.74179601806239
2022-04-01,,,7.342005344635923,3.637088655760444,0.2134425707662535,14.470568118505593
2022-05-01,,,8.560513974925232,4.066903317523426,0.5895299439728534,16.531498005877612
2022-06-01,,,9.220205855547388,4.429488114464441,0.5385686812488508,17.901843029845924
2022-07-01,,,9.310318918134342,4.741989430448509,0.01619041938566035,18.604447416883026
2022-08-01,,,10.088525829185382,5.015270983145429,0.25877532951155224,19.918276328859214
2022-09-01,,,9.486098647423875,5.256777148359546,-0.8169952381140035,19.789192532961753
2022-10-01,,,9.195473787721689,5.471899805738817,-1.5292527585381102,19.920200333981487
2022-11-01,,,8.995131812392342,5.664708421084013,-2.107492675853077,20.097756300637762
